LebwohlLasher.py: Size: 50, Steps: 50, Exp. reps: 1, T*: 0.500: Order: 0.326, Mean ratio : 0.463, Time: 4.866499 s ± 0.000000 s
         5598414 function calls (5582900 primitive calls) in 5.567 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    317/1    0.003    0.000    5.568    5.568 {built-in method builtins.exec}
        1    0.000    0.000    5.568    5.568 LebwohlLasher.py:1(<module>)
        1    0.001    0.001    4.911    4.911 LebwohlLasher.py:289(main)
   377500    2.072    0.000    4.012    0.000 LebwohlLasher.py:155(one_energy)
       50    0.291    0.006    3.019    0.060 LebwohlLasher.py:240(MC_step)
       51    0.043    0.001    1.335    0.026 LebwohlLasher.py:195(all_energy)
   377500    0.268    0.000    1.116    0.000 fromnumeric.py:2177(sum)
       40    0.001    0.000    0.858    0.021 __init__.py:1(<module>)
   377651    0.323    0.000    0.800    0.000 fromnumeric.py:71(_wrapreduction)
    373/3    0.002    0.000    0.657    0.219 <frozen importlib._bootstrap>:1349(_find_and_load)
    369/3    0.001    0.000    0.657    0.219 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    355/4    0.001    0.000    0.654    0.163 <frozen importlib._bootstrap>:911(_load_unlocked)
    302/4    0.001    0.000    0.654    0.163 <frozen importlib._bootstrap_external>:989(exec_module)
    884/7    0.002    0.000    0.653    0.093 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   436/16    0.000    0.000    0.615    0.038 {built-in method builtins.__import__}
   377500    0.375    0.000    0.600    0.000 numeric.py:274(full)
   455/73    0.001    0.000    0.555    0.008 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       51    0.540    0.011    0.549    0.011 LebwohlLasher.py:212(get_order)
   377757    0.429    0.000    0.429    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.388    0.388 pyplot.py:1(<module>)
1145/1049    0.013    0.000    0.303    0.000 {built-in method builtins.__build_class__}
      103    0.003    0.000    0.226    0.002 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.223    0.002 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.197    0.197 figure.py:1(<module>)
   378049    0.188    0.000    0.188    0.000 {built-in method numpy.array}
      114    0.000    0.000    0.173    0.002 artist.py:1839(kwdoc)
        1    0.000    0.000    0.154    0.154 colorbar.py:1(<module>)
      114    0.004    0.000    0.148    0.001 artist.py:1600(pprint_setters)
     4144    0.010    0.000    0.121    0.000 artist.py:1469(get_valid_values)
