LebwohlLasher.py: Size: 50, Steps: 50, Exp. reps: 1, T*: 0.500: Order: 0.427, Mean ratio : 0.466, Time: 2.821494 s ± 0.000000 s
         1445791 function calls (1430277 primitive calls) in 3.523 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.014    0.014 offsetbox.py:1(<module>)
        2    0.000    0.000    0.014    0.007 core.py:206(read_style_directory)
165541/164432    0.014    0.000    0.014    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.014    0.014 linalg.py:1(<module>)
      438    0.014    0.000    0.014    0.000 {built-in method builtins.dir}
     9617    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
       48    0.012    0.000    0.013    0.000 {built-in method _imp.create_dynamic}
     6065    0.007    0.000    0.013    0.000 inspect.py:2739(__init__)
      976    0.001    0.000    0.013    0.000 __init__.py:715(__setitem__)
    93377    0.013    0.000    0.013    0.000 {method 'startswith' of 'str' objects}
      447    0.000    0.000    0.013    0.000 artist.py:1538(number_of_parameters)
       55    0.000    0.000    0.013    0.000 __init__.py:226(compile)
        1    0.000    0.000    0.012    0.012 polar.py:1(<module>)
        1    0.000    0.000    0.012    0.012 lines.py:1(<module>)
    69357    0.012    0.000    0.012    0.000 {built-in method builtins.getattr}
      210    0.000    0.000    0.012    0.000 _compiler.py:573(_code)
        1    0.000    0.000    0.011    0.011 pathlib.py:1(<module>)
    86100    0.011    0.000    0.011    0.000 {method 'lstrip' of 'str' objects}
    66825    0.008    0.000    0.011    0.000 {built-in method builtins.isinstance}
  400/328    0.000    0.000    0.011    0.000 typing.py:392(inner)
      302    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
       94    0.001    0.000    0.011    0.000 __init__.py:1399(_preprocess_data)
        1    0.000    0.000    0.011    0.011 font_manager.py:1(<module>)
    61320    0.010    0.000    0.010    0.000 {built-in method builtins.min}
      970    0.000    0.000    0.010    0.000 artist.py:1544(is_alias)
        1    0.000    0.000    0.010    0.010 image.py:1(<module>)
      200    0.000    0.000    0.010    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.009    0.009 textpath.py:1(<module>)
      100    0.000    0.000    0.009    0.000 pyplot.py:198(_add_pyplot_note)
        1    0.000    0.000    0.009    0.009 category.py:1(<module>)
     4144    0.004    0.000    0.009    0.000 artist.py:1557(aliased_name)
        2    0.000    0.000    0.009    0.004 common.py:1(<module>)
        1    0.000    0.000    0.009    0.009 subprocess.py:1(<module>)
 1069/210    0.004    0.000    0.009    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.008    0.008 shutil.py:1(<module>)
3417/2982    0.003    0.000    0.008    0.000 {built-in method __new__ of type object at 0x936bc0}
15926/15917    0.007    0.000    0.008    0.000 {method 'join' of 'str' objects}
      798    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.008    0.008 axis3d.py:1(<module>)
15161/15127    0.004    0.000    0.008    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.008    0.008 _parser.py:1(<module>)
        1    0.000    0.000    0.007    0.007 quiver.py:1(<module>)
        8    0.000    0.000    0.007    0.001 __init__.py:73(import_module)
        8    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
       38    0.001    0.000    0.007    0.000 enum.py:528(__new__)
        1    0.001    0.001    0.007    0.007 helpers.py:1(<module>)
      917    0.004    0.000    0.007    0.000 inspect.py:3025(__init__)
        1    0.000    0.000    0.006    0.006 ExifTags.py:1(<module>)
        1    0.000    0.000    0.006    0.006 cm.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:32(__enter__)
        1    0.000    0.000    0.006    0.006 hmac.py:1(<module>)
       51    0.003    0.000    0.006    0.000 linalg.py:1193(eig)
       48    0.000    0.000    0.006    0.000 __init__.py:1355(_add_data_doc)
      369    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
      302    0.006    0.000    0.006    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.006    0.006 random.py:1(<module>)
      429    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        2    0.000    0.000    0.006    0.003 ElementTree.py:1(<module>)
        3    0.000    0.000    0.006    0.002 patches.py:2283(__init_subclass__)
        1    0.000    0.000    0.006    0.006 common.py:8(pyparsing_common)
        6    0.000    0.000    0.006    0.001 patches.py:2325(pprint_styles)
        1    0.000    0.000    0.006    0.006 mathtext.py:1(<module>)
       18    0.000    0.000    0.006    0.000 rcsetup.py:827(validate_cycler)
     8831    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
      355    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.005    0.005 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.005    0.005 multiarray.py:1(<module>)
       56    0.003    0.000    0.005    0.000 {built-in method builtins.eval}
    35334    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 scale.py:1(<module>)
      435    0.003    0.000    0.005    0.000 enum.py:254(__set_name__)
      317    0.001    0.000    0.005    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.005    0.005 table.py:1(<module>)
        1    0.000    0.000    0.005    0.005 cm.py:32(_gen_cmap_registry)
       12    0.000    0.000    0.005    0.000 core.py:1135(parse_string)
     3281    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      100    0.003    0.000    0.005    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
      255    0.001    0.000    0.005    0.000 typing.py:1269(__init__)
   106/94    0.000    0.000    0.005    0.000 typing.py:515(__getitem__)
      604    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     6510    0.002    0.000    0.005    0.000 enum.py:726(__call__)
        2    0.000    0.000    0.005    0.002 shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.004    0.004 overrides.py:1(<module>)
       94    0.000    0.000    0.004    0.000 typing.py:694(Union)
        1    0.000    0.000    0.004    0.004 artist.py:1(<module>)
       13    0.000    0.000    0.004    0.000 rcsetup.py:426(validate_font_properties)
       38    0.002    0.000    0.004    0.000 __init__.py:355(namedtuple)
       10    0.000    0.000    0.004    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        1    0.000    0.000    0.004    0.004 __init__.py:244(_check_versions)
