LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.841, Mean ratio : 0.403, Time: 2.216371 s ± 0.000000 s
         9340042 function calls (8830136 primitive calls) in 12.535 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    789/1    0.017    0.000   12.545   12.545 {built-in method builtins.exec}
        1    0.005    0.005   10.275   10.275 LebwohlLasher.py:285(main)
        3    0.000    0.000   10.063    3.354 dispatcher.py:343(_compile_for_args)
    134/3    0.004    0.000    9.925    3.308 dispatcher.py:859(compile)
     35/3    0.000    0.000    9.924    3.308 dispatcher.py:79(compile)
     35/3    0.000    0.000    9.924    3.308 dispatcher.py:86(_compile_cached)
     35/3    0.002    0.000    9.924    3.308 dispatcher.py:101(_compile_core)
     35/3    0.000    0.000    9.922    3.307 compiler.py:718(compile_extra)
 1647/328    0.011    0.000    9.445    0.029 compiler_lock.py:32(_acquire_compile_lock)
     47/3    0.001    0.000    9.406    3.135 compiler.py:432(compile_extra)
     47/3    0.000    0.000    9.402    3.134 compiler.py:501(_compile_bytecode)
     47/3    0.001    0.000    9.402    3.134 compiler.py:455(_compile_core)
     47/3    0.009    0.000    9.399    3.133 compiler_machinery.py:342(run)
  1222/78    0.064    0.000    9.395    0.120 compiler_machinery.py:268(_runPass)
 3666/234    0.009    0.000    9.320    0.040 compiler_machinery.py:272(check)
     47/7    0.001    0.000    7.261    1.037 typed_passes.py:105(run_pass)
     47/7    0.002    0.000    7.260    1.037 typed_passes.py:68(type_inference_stage)
     47/7    0.002    0.000    7.239    1.034 typeinfer.py:1072(propagate)
    98/17    0.011    0.000    7.238    0.426 typeinfer.py:147(propagate)
  790/277    0.011    0.000    7.140    0.026 typeinfer.py:585(resolve)
  790/277    0.002    0.000    7.117    0.026 typeinfer.py:1539(resolve_call)
  816/281    0.001    0.000    7.116    0.025 context.py:189(resolve_function_type)
  816/281    0.006    0.000    7.113    0.025 context.py:233(_resolve_user_function_type)
  355/101    0.004    0.000    7.006    0.069 typeinfer.py:575(__call__)
   131/48    0.002    0.000    6.904    0.144 functions.py:534(get_call_type)
   131/48    0.002    0.000    6.900    0.144 dispatcher.py:303(get_call_template)
  848/471    0.031    0.000    6.607    0.014 functions.py:281(get_call_type)
3246/1759    0.010    0.000    6.453    0.004 templates.py:348(apply)
    47/32    0.006    0.000    6.447    0.201 typed_passes.py:437(run_pass)
  748/329    0.004    0.000    6.343    0.019 templates.py:606(generic)
  748/329    0.006    0.000    6.318    0.019 templates.py:697(_get_impl)
   141/84    0.003    0.000    6.277    0.075 templates.py:748(_build_impl)
    47/32    0.001    0.000    4.023    0.126 lowering.py:182(lower)
    47/32    0.002    0.000    3.526    0.110 lowering.py:218(lower_normal_function)
    47/32    0.002    0.000    3.495    0.109 lowering.py:235(lower_function_body)
       90    0.007    0.000    3.494    0.039 __init__.py:1(<module>)
  186/114    0.013    0.000    3.491    0.031 lowering.py:260(lower_block)
2412/1603    0.019    0.000    3.454    0.002 lowering.py:442(lower_inst)
 1053/717    0.004    0.000    3.190    0.004 lowering.py:650(lower_assign)
  562/409    0.005    0.000    3.141    0.008 lowering.py:1170(lower_expr)
    20706    2.267    0.000    2.742    0.000 ffi.py:190(__call__)
 1288/478    0.013    0.000    2.608    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
   850/47    0.008    0.000    2.602    0.055 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  2071/60    0.006    0.000    2.592    0.043 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
