run_LL.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.735, Mean ratio : 0.403, Time: 1.593920 s ± 0.000000 s
         1133373 function calls (1117750 primitive calls) in 2.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    317/1    0.006    0.000    2.818    2.818 {built-in method builtins.exec}
        1    1.488    1.488    2.818    2.818 run_LL.py:1(<module>)
       40    0.003    0.000    1.522    0.038 __init__.py:1(<module>)
    374/1    0.004    0.000    1.220    1.220 <frozen importlib._bootstrap>:1349(_find_and_load)
    370/1    0.002    0.000    1.220    1.220 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    356/1    0.002    0.000    1.218    1.218 <frozen importlib._bootstrap>:911(_load_unlocked)
    887/3    0.003    0.000    1.218    0.406 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     49/1    0.000    0.000    1.190    1.190 <frozen importlib._bootstrap_external>:1295(exec_module)
     49/1    0.021    0.000    1.190    1.190 {built-in method _imp.exec_dynamic}
    302/4    0.001    0.000    1.170    0.292 <frozen importlib._bootstrap_external>:989(exec_module)
   436/16    0.001    0.000    1.106    0.069 {built-in method builtins.__import__}
   455/73    0.001    0.000    1.016    0.014 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.672    0.672 pyplot.py:1(<module>)
1145/1049    0.026    0.000    0.519    0.000 {built-in method builtins.__build_class__}
      103    0.004    0.000    0.381    0.004 artist.py:159(_update_set_signature_and_docstring)
      102    0.001    0.000    0.369    0.004 artist.py:126(__init_subclass__)
        1    0.000    0.000    0.307    0.307 figure.py:1(<module>)
        1    0.000    0.000    0.301    0.301 colorbar.py:1(<module>)
      114    0.001    0.000    0.283    0.002 artist.py:1839(kwdoc)
      114    0.006    0.000    0.243    0.002 artist.py:1600(pprint_setters)
     4144    0.016    0.000    0.200    0.000 artist.py:1469(get_valid_values)
        1    0.000    0.000    0.180    0.180 contour.py:1(<module>)
        1    0.000    0.000    0.172    0.172 backend_bases.py:1(<module>)
      368    0.005    0.000    0.160    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.155    0.155 rcsetup.py:1(<module>)
     7176    0.080    0.000    0.151    0.000 inspect.py:882(cleandoc)
      365    0.001    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      365    0.002    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        1    0.000    0.000    0.146    0.146 text.py:1(<module>)
      626    0.009    0.000    0.144    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
      302    0.003    0.000    0.142    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
     7113    0.008    0.000    0.136    0.000 inspect.py:863(getdoc)
     1494    0.123    0.000    0.123    0.000 {built-in method posix.stat}
     1483    0.001    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.111    0.111 collections.py:1(<module>)
      302    0.024    0.000    0.104    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      218    0.001    0.000    0.099    0.000 artist.py:1421(__init__)
      218    0.030    0.000    0.097    0.000 artist.py:1441(get_aliases)
        1    0.000    0.000    0.096    0.096 _axes.py:1(<module>)
        1    0.000    0.000    0.083    0.083 _base.py:1(<module>)
        1    0.000    0.000    0.081    0.081 patches.py:1(<module>)
        1    0.000    0.000    0.079    0.079 _fontconfig_pattern.py:1(<module>)
      302    0.078    0.000    0.078    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.077    0.077 __config__.py:1(<module>)
     6672    0.008    0.000    0.075    0.000 __init__.py:280(_compile)
  356/354    0.001    0.000    0.068    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
        1    0.000    0.000    0.068    0.068 colors.py:1(<module>)
      218    0.019    0.000    0.065    0.000 artist.py:1519(get_setters)
        3    0.001    0.000    0.064    0.021 core.py:1(<module>)
      210    0.001    0.000    0.060    0.000 _compiler.py:740(compile)
     5563    0.005    0.000    0.060    0.000 __init__.py:174(search)
