LebwohlLasher.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.730, Mean ratio : 0.406, Time: 2.104019 s ± 0.000000 s
         9551497 function calls (9054126 primitive calls) in 11.188 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    789/1    0.018    0.000   11.196   11.196 {built-in method builtins.exec}
        1    0.003    0.003    9.249    9.249 LebwohlLasher.py:284(main)
        3    0.000    0.000    8.642    2.881 dispatcher.py:343(_compile_for_args)
    132/3    0.003    0.000    8.573    2.858 dispatcher.py:859(compile)
     34/3    0.000    0.000    8.572    2.857 dispatcher.py:79(compile)
     34/3    0.000    0.000    8.572    2.857 dispatcher.py:86(_compile_cached)
     34/3    0.001    0.000    8.572    2.857 dispatcher.py:101(_compile_core)
     34/3    0.000    0.000    8.571    2.857 compiler.py:718(compile_extra)
 1619/328    0.009    0.000    7.803    0.024 compiler_lock.py:32(_acquire_compile_lock)
     46/3    0.001    0.000    7.757    2.586 compiler.py:432(compile_extra)
     46/3    0.000    0.000    7.754    2.585 compiler.py:501(_compile_bytecode)
     46/3    0.001    0.000    7.754    2.585 compiler.py:455(_compile_core)
     46/3    0.007    0.000    7.752    2.584 compiler_machinery.py:342(run)
  1196/78    0.052    0.000    7.749    0.099 compiler_machinery.py:268(_runPass)
 3588/234    0.007    0.000    7.683    0.033 compiler_machinery.py:272(check)
     46/8    0.001    0.000    5.752    0.719 typed_passes.py:105(run_pass)
     46/8    0.002    0.000    5.752    0.719 typed_passes.py:68(type_inference_stage)
     46/8    0.002    0.000    5.717    0.715 typeinfer.py:1072(propagate)
    96/19    0.008    0.000    5.712    0.301 typeinfer.py:147(propagate)
  841/464    0.025    0.000    5.654    0.012 functions.py:281(get_call_type)
  774/395    0.009    0.000    5.630    0.014 typeinfer.py:585(resolve)
  774/395    0.001    0.000    5.609    0.014 typeinfer.py:1539(resolve_call)
  800/399    0.001    0.000    5.608    0.014 context.py:189(resolve_function_type)
  800/399    0.004    0.000    5.606    0.014 context.py:233(_resolve_user_function_type)
3220/1733    0.008    0.000    5.539    0.003 templates.py:348(apply)
  349/127    0.004    0.000    5.477    0.043 typeinfer.py:575(__call__)
  748/329    0.003    0.000    5.439    0.017 templates.py:606(generic)
  748/329    0.004    0.000    5.427    0.016 templates.py:697(_get_impl)
   141/84    0.002    0.000    5.399    0.064 templates.py:748(_build_impl)
   129/46    0.001    0.000    5.392    0.117 functions.py:534(get_call_type)
   129/46    0.001    0.000    5.389    0.117 dispatcher.py:303(get_call_template)
    46/31    0.005    0.000    5.326    0.172 typed_passes.py:437(run_pass)
    46/31    0.001    0.000    3.385    0.109 lowering.py:182(lower)
       90    0.007    0.000    3.271    0.036 __init__.py:1(<module>)
    46/31    0.002    0.000    2.975    0.096 lowering.py:218(lower_normal_function)
    46/31    0.002    0.000    2.944    0.095 lowering.py:235(lower_function_body)
  179/107    0.010    0.000    2.940    0.027 lowering.py:260(lower_block)
2343/1534    0.015    0.000    2.913    0.002 lowering.py:442(lower_inst)
 1023/687    0.003    0.000    2.728    0.004 lowering.py:650(lower_assign)
  549/396    0.004    0.000    2.688    0.007 lowering.py:1170(lower_expr)
 1278/468    0.013    0.000    2.483    0.005 <frozen importlib._bootstrap>:1349(_find_and_load)
   850/47    0.009    0.000    2.476    0.053 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  2071/60    0.007    0.000    2.463    0.041 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
   822/48    0.007    0.000    2.461    0.051 <frozen importlib._bootstrap>:911(_load_unlocked)
   729/48    0.004    0.000    2.457    0.051 <frozen importlib._bootstrap_external>:989(exec_module)
   653/68    0.003    0.000    2.325    0.034 {built-in method builtins.__import__}
18157/17162    0.033    0.000    2.299    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
    20025    1.778    0.000    2.180    0.000 ffi.py:190(__call__)
  351/247    0.001    0.000    2.149    0.009 base.py:1189(__call__)
  351/247    0.002    0.000    2.147    0.009 base.py:1218(wrapper)
     1001    0.254    0.000    2.069    0.002 LebwohlLasher.py:190(all_energy)
    29/27    0.001    0.000    1.984    0.073 base.py:847(compile_subroutine)
    12/11    0.001    0.000    1.982    0.180 base.py:809(_compile_subroutine_no_cache)
    26/24    0.000    0.000    1.921    0.080 base.py:876(compile_internal)
       47    0.001    0.000    1.870    0.040 codegen.py:739(finalize)
  270/167    0.000    0.000    1.849    0.011 codegen.py:565(_ensure_finalized)
    12/11    0.000    0.000    1.739    0.158 compiler.py:811(compile_internal)
  153/125    0.002    0.000    1.727    0.014 lowering.py:900(lower_call)
  140/117    0.002    0.000    1.717    0.015 lowering.py:1142(_lower_call_normal)
       34    0.001    0.000    1.588    0.047 cpu.py:225(get_executable)
       34    0.001    0.000    1.580    0.046 codegen.py:975(get_pointer_to_function)
       47    0.001    0.000    1.089    0.023 codegen.py:781(_finalize_final_module)
     1303    0.007    0.000    1.029    0.001 pprint.py:57(pformat)
