LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.379, Mean ratio: 0.465, Time: 4.340773 s
         1540370 function calls (1524856 primitive calls) in 5.389 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.025    0.025 polar.py:1(<module>)
        1    0.000    0.000    0.024    0.024 _pickle.py:1(<module>)
      438    0.022    0.000    0.022    0.000 {built-in method builtins.dir}
       48    0.020    0.000    0.022    0.000 {built-in method _imp.create_dynamic}
     9617    0.022    0.000    0.022    0.000 {method 'search' of 're.Pattern' objects}
165541/164432    0.021    0.000    0.022    0.000 {built-in method builtins.len}
       94    0.002    0.000    0.021    0.000 __init__.py:1399(_preprocess_data)
        1    0.000    0.000    0.021    0.021 axis.py:1(<module>)
      976    0.001    0.000    0.020    0.000 __init__.py:715(__setitem__)
    93377    0.020    0.000    0.020    0.000 {method 'startswith' of 'str' objects}
     6065    0.011    0.000    0.020    0.000 inspect.py:2739(__init__)
      447    0.001    0.000    0.019    0.000 artist.py:1538(number_of_parameters)
        2    0.000    0.000    0.019    0.009 core.py:206(read_style_directory)
        1    0.000    0.000    0.019    0.019 offsetbox.py:1(<module>)
    69356    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    86100    0.018    0.000    0.018    0.000 {method 'lstrip' of 'str' objects}
  400/328    0.001    0.000    0.018    0.000 typing.py:392(inner)
       55    0.000    0.000    0.018    0.000 __init__.py:226(compile)
      210    0.001    0.000    0.018    0.000 _compiler.py:573(_code)
    66821    0.014    0.000    0.017    0.000 {built-in method builtins.isinstance}
      302    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
    61320    0.015    0.000    0.015    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.015    0.015 font_manager.py:1(<module>)
        1    0.000    0.000    0.015    0.015 secrets.py:1(<module>)
     4144    0.007    0.000    0.014    0.000 artist.py:1557(aliased_name)
      970    0.001    0.000    0.014    0.000 artist.py:1544(is_alias)
        1    0.000    0.000    0.014    0.014 axis3d.py:1(<module>)
        1    0.000    0.000    0.014    0.014 lines.py:1(<module>)
      798    0.004    0.000    0.014    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.014    0.014 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.014    0.014 <frozen ntpath>:1(<module>)
15926/15917    0.011    0.000    0.014    0.000 {method 'join' of 'str' objects}
      200    0.000    0.000    0.014    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
      100    0.001    0.000    0.013    0.000 pyplot.py:198(_add_pyplot_note)
3417/2982    0.004    0.000    0.013    0.000 {built-in method __new__ of type object at 0x936bc0}
        1    0.000    0.000    0.013    0.013 cm.py:1(<module>)
 1069/210    0.006    0.000    0.012    0.000 _compiler.py:37(_compile)
       48    0.000    0.000    0.012    0.000 __init__.py:1355(_add_data_doc)
        1    0.000    0.000    0.012    0.012 image.py:1(<module>)
15158/15124    0.007    0.000    0.012    0.000 {built-in method builtins.hasattr}
        1    0.000    0.000    0.012    0.012 scale.py:1(<module>)
        1    0.000    0.000    0.011    0.011 quiver.py:1(<module>)
        1    0.000    0.000    0.011    0.011 category.py:1(<module>)
        2    0.000    0.000    0.011    0.006 common.py:1(<module>)
       38    0.001    0.000    0.011    0.000 enum.py:528(__new__)
      917    0.006    0.000    0.011    0.000 inspect.py:3025(__init__)
        1    0.000    0.000    0.010    0.010 multiarray.py:1(<module>)
        1    0.000    0.000    0.010    0.010 textpath.py:1(<module>)
      369    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
      429    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       51    0.005    0.000    0.010    0.000 linalg.py:1193(eig)
        1    0.000    0.000    0.010    0.010 cm.py:32(_gen_cmap_registry)
        1    0.000    0.000    0.010    0.010 ExifTags.py:1(<module>)
        1    0.000    0.000    0.010    0.010 _parser.py:1(<module>)
        8    0.000    0.000    0.009    0.001 __init__.py:73(import_module)
        8    0.000    0.000    0.009    0.001 <frozen importlib._bootstrap>:1375(_gcd_import)
      302    0.009    0.000    0.009    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.009    0.009 overrides.py:1(<module>)
      355    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.009    0.009 parse.py:1(<module>)
        1    0.000    0.000    0.009    0.009 ticker.py:1(<module>)
        1    0.001    0.001    0.009    0.009 helpers.py:1(<module>)
     8831    0.008    0.000    0.008    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.008    0.008 __init__.py:32(__enter__)
       18    0.000    0.000    0.008    0.000 rcsetup.py:827(validate_cycler)
        1    0.000    0.000    0.008    0.008 numeric.py:1(<module>)
        1    0.000    0.000    0.008    0.008 common.py:8(pyparsing_common)
        3    0.000    0.000    0.008    0.003 patches.py:2283(__init_subclass__)
        6    0.000    0.000    0.008    0.001 patches.py:2325(pprint_styles)
    35334    0.008    0.000    0.008    0.000 {method 'append' of 'list' objects}
     3281    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      317    0.001    0.000    0.008    0.000 overrides.py:142(decorator)
      255    0.001    0.000    0.008    0.000 typing.py:1269(__init__)
        1    0.000    0.000    0.008    0.008 subprocess.py:1(<module>)
       12    0.000    0.000    0.008    0.001 core.py:1135(parse_string)
      604    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
   106/94    0.000    0.000    0.007    0.000 typing.py:515(__getitem__)
      435    0.004    0.000    0.007    0.000 enum.py:254(__set_name__)
        2    0.000    0.000    0.007    0.004 ElementTree.py:1(<module>)
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
       56    0.004    0.000    0.007    0.000 {built-in method builtins.eval}
       94    0.001    0.000    0.007    0.000 typing.py:694(Union)
      798    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.007    0.007 LebwohlLasher.py:115(savedat)
        1    0.000    0.000    0.007    0.007 artist.py:1(<module>)
       13    0.000    0.000    0.006    0.000 rcsetup.py:426(validate_font_properties)
     6510    0.004    0.000    0.006    0.000 enum.py:726(__call__)
       10    0.000    0.000    0.006    0.001 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
        1    0.000    0.000    0.006    0.006 legend.py:1(<module>)
        2    0.000    0.000    0.006    0.003 shape_base.py:1(<module>)
       38    0.002    0.000    0.006    0.000 __init__.py:355(namedtuple)
     7188    0.006    0.000    0.006    0.000 {method 'expandtabs' of 'str' objects}
      100    0.004    0.000    0.006    0.000 {method 'randint' of 'numpy.random.mtrand.RandomState' objects}
       32    0.001    0.000    0.006    0.000 colors.py:1049(from_list)
      745    0.003    0.000    0.006    0.000 functools.py:35(update_wrapper)
      652    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap>:632(cached)
   306/12    0.001    0.000    0.006    0.000 core.py:811(_parseNoCache)
        1    0.000    0.000    0.006    0.006 _secondary_axes.py:1(<module>)
    72/12    0.000    0.000    0.006    0.000 core.py:3994(parseImpl)
        1    0.000    0.000    0.006    0.006 hmac.py:1(<module>)
        1    0.000    0.000    0.006    0.006 transforms.py:1(<module>)
        1    0.000    0.000    0.006    0.006 dates.py:1(<module>)
        1    0.000    0.000    0.006    0.006 table.py:1(<module>)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:1(<module>)
      350    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.006    0.006 mathtext.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:244(_check_versions)
      798    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:124(setdefault)
      302    0.005    0.000    0.005    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.005    0.005 _tricontour.py:1(<module>)
        1    0.000    0.000    0.005    0.005 socket.py:1(<module>)
       10    0.000    0.000    0.005    0.001 core.py:5642(__init__)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
     30/9    0.000    0.000    0.005    0.001 core.py:4524(leave_whitespace)
        1    0.000    0.000    0.005    0.005 cbook.py:1(<module>)
      409    0.001    0.000    0.005    0.000 rcsetup.py:332(validate_color)
       10    0.000    0.000    0.005    0.000 util.py:251(_inner)
      461    0.001    0.000    0.005    0.000 core.py:522(copy)
        1    0.000    0.000    0.005    0.005 _mathtext.py:1(<module>)
        1    0.000    0.000    0.005    0.005 pickle.py:1(<module>)
      537    0.002    0.000    0.005    0.000 enum.py:390(__setitem__)
      210    0.001    0.000    0.005    0.000 _compiler.py:511(_compile_info)
        1    0.000    0.000    0.005    0.005 backend_tools.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
        2    0.000    0.000    0.004    0.002 exceptions.py:1(<module>)
        7    0.001    0.000    0.004    0.001 enum.py:919(_convert_)
       16    0.001    0.000    0.004    0.000 typing.py:2809(__new__)
       33    0.004    0.000    0.004    0.000 {built-in method _io.open}
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
        2    0.000    0.000    0.004    0.002 __init__.py:12(__getattr__)
      111    0.000    0.000    0.004    0.000 rcsetup.py:99(f)
      461    0.001    0.000    0.004    0.000 copy.py:61(copy)
       50    0.004    0.000    0.004    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
      351    0.001    0.000    0.004    0.000 inspect.py:801(_finddoc)
     7661    0.003    0.000    0.004    0.000 _parser.py:168(__getitem__)
        1    0.000    0.000    0.004    0.004 rrule.py:1(<module>)
       22    0.000    0.000    0.004    0.000 core.py:4930(parseImpl)
     62/9    0.000    0.000    0.004    0.000 core.py:3751(leave_whitespace)
      552    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
      412    0.000    0.000    0.004    0.000 colors.py:221(is_color_like)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
      475    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
   133/64    0.000    0.000    0.004    0.000 core.py:3843(copy)
    30827    0.004    0.000    0.004    0.000 {built-in method builtins.callable}
      117    0.000    0.000    0.004    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.004    0.004 units.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
       16    0.000    0.000    0.004    0.000 typing.py:2790(_make_nmtuple)
     2679    0.002    0.000    0.004    0.000 cbook.py:405(_strip_comment)
       39    0.000    0.000    0.004    0.000 typing.py:521(__getitem__)
     1715    0.002    0.000    0.004    0.000 typing.py:1215(__setattr__)
        1    0.000    0.000    0.004    0.004 utils.py:1(<module>)
      798    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:372(release)
    11325    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
     2992    0.003    0.000    0.004    0.000 inspect.py:3072(<genexpr>)
      438    0.001    0.000    0.004    0.000 colors.py:275(to_rgba)
        1    0.000    0.000    0.004    0.004 axes3d.py:40(Axes3D)
      515    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
       39    0.000    0.000    0.003    0.000 typing.py:753(Literal)
     1229    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
    38/18    0.000    0.000    0.003    0.000 core.py:4512(parseImpl)
