run_LL.py: Size: 20, Steps: 1000, Exp. reps: 1, T*: 0.650: Order: 0.818, Mean ratio : 0.410, Time: 3.430115 s ± 0.000000 s
         1135378 function calls (1119755 primitive calls) in 4.512 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.018    0.018 axis.py:1(<module>)
  438/210    0.001    0.000    0.018    0.000 _parser.py:452(_parse_sub)
     5007    0.018    0.000    0.018    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.018    0.018 category.py:1(<module>)
  497/236    0.007    0.000    0.017    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.016    0.016 geo.py:1(<module>)
      976    0.001    0.000    0.016    0.000 __init__.py:715(__setitem__)
        1    0.000    0.000    0.016    0.016 _axes.py:65(Axes)
     2000    0.002    0.000    0.016    0.000 fromnumeric.py:2979(prod)
        1    0.000    0.000    0.015    0.015 offsetbox.py:1(<module>)
    72214    0.015    0.000    0.015    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.015    0.015 pathlib.py:1(<module>)
        8    0.000    0.000    0.014    0.002 __init__.py:73(import_module)
        8    0.000    0.000    0.014    0.002 <frozen importlib._bootstrap>:1375(_gcd_import)
      438    0.014    0.000    0.014    0.000 {built-in method builtins.dir}
        2    0.000    0.000    0.014    0.007 common.py:1(<module>)
166494/165385    0.014    0.000    0.014    0.000 {built-in method builtins.len}
16113/16079    0.006    0.000    0.014    0.000 {built-in method builtins.hasattr}
     9617    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
        1    0.000    0.000    0.014    0.014 textpath.py:1(<module>)
        1    0.000    0.000    0.014    0.014 _parser.py:1(<module>)
       55    0.000    0.000    0.013    0.000 __init__.py:226(compile)
     6065    0.008    0.000    0.013    0.000 inspect.py:2739(__init__)
      447    0.001    0.000    0.013    0.000 artist.py:1538(number_of_parameters)
    93378    0.013    0.000    0.013    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.013    0.013 numeric.py:1(<module>)
        1    0.000    0.000    0.012    0.012 lines.py:1(<module>)
        1    0.000    0.000    0.012    0.012 polar.py:1(<module>)
    86100    0.012    0.000    0.012    0.000 {method 'lstrip' of 'str' objects}
    67776    0.009    0.000    0.012    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.012    0.012 image.py:1(<module>)
        1    0.000    0.000    0.012    0.012 multiarray.py:1(<module>)
      210    0.000    0.000    0.012    0.000 _compiler.py:573(_code)
     1001    0.006    0.000    0.011    0.000 shape_base.py:219(vstack)
  400/328    0.000    0.000    0.011    0.000 typing.py:392(inner)
     1001    0.002    0.000    0.011    0.000 linalg.py:215(_assert_finite)
        2    0.000    0.000    0.011    0.006 ElementTree.py:1(<module>)
        1    0.000    0.000    0.011    0.011 shutil.py:1(<module>)
        1    0.000    0.000    0.011    0.011 PngImagePlugin.py:1(<module>)
        1    0.000    0.000    0.011    0.011 scale.py:1(<module>)
       94    0.001    0.000    0.011    0.000 __init__.py:1399(_preprocess_data)
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
      200    0.000    0.000    0.010    0.000 pyplot.py:165(_copy_docstring_and_deprecators)
4368/3933    0.004    0.000    0.010    0.000 {built-in method __new__ of type object at 0x936bc0}
        1    0.000    0.000    0.010    0.010 subprocess.py:1(<module>)
      799    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
      970    0.000    0.000    0.010    0.000 artist.py:1544(is_alias)
        1    0.001    0.001    0.010    0.010 helpers.py:1(<module>)
    61320    0.010    0.000    0.010    0.000 {built-in method builtins.min}
      100    0.001    0.000    0.010    0.000 pyplot.py:198(_add_pyplot_note)
        1    0.000    0.000    0.009    0.009 hmac.py:1(<module>)
        1    0.000    0.000    0.009    0.009 __init__.py:244(_check_versions)
     1001    0.001    0.000    0.009    0.000 {method 'all' of 'numpy.ndarray' objects}
15927/15918    0.007    0.000    0.009    0.000 {method 'join' of 'str' objects}
     4144    0.004    0.000    0.009    0.000 artist.py:1557(aliased_name)
        1    0.000    0.000    0.008    0.008 cbook.py:1(<module>)
 1069/210    0.004    0.000    0.008    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.008    0.008 axis3d.py:1(<module>)
     1001    0.007    0.000    0.008    0.000 numeric.py:67(zeros_like)
        1    0.000    0.000    0.008    0.008 ticker.py:1(<module>)
       38    0.001    0.000    0.008    0.000 enum.py:528(__new__)
        1    0.000    0.000    0.008    0.008 cm.py:1(<module>)
     1002    0.007    0.000    0.008    0.000 twodim_base.py:158(eye)
        2    0.000    0.000    0.008    0.004 __init__.py:12(__getattr__)
      370    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.008    0.008 quiver.py:1(<module>)
      917    0.005    0.000    0.007    0.000 inspect.py:3025(__init__)
     1001    0.001    0.000    0.007    0.000 _methods.py:61(_all)
       18    0.000    0.000    0.007    0.000 rcsetup.py:827(validate_cycler)
        2    0.000    0.000    0.007    0.004 shape_base.py:1(<module>)
        1    0.000    0.000    0.007    0.007 mathtext.py:1(<module>)
        1    0.000    0.000    0.007    0.007 __init__.py:32(__enter__)
        1    0.000    0.000    0.007    0.007 common.py:8(pyparsing_common)
        1    0.000    0.000    0.007    0.007 backend_tools.py:1(<module>)
     1001    0.002    0.000    0.007    0.000 fromnumeric.py:2421(all)
        1    0.000    0.000    0.007    0.007 ExifTags.py:1(<module>)
